image_id	poem
img_83067	A man in a voluminous dark robe sits in the foreground, while a woman in a pink dress with long, flowing ribbons stands behind him, looking back.
img_83071	A woman in ornate, traditional attire with a flower in her hair is seated elegantly among lotus leaves and blossoms.
img_83092	A vast mountain landscape is depicted with misty valleys, colorful autumn trees, waterfalls, and birds flying over a serene lake.
img_83107	Figures in traditional dress occupy a multi-level garden pavilion, with some seen through a circular window above and others walking in the courtyard below.
img_83240	A powerful waterfall rushes down a mountainside, with a small house perched on a cliff connected by a bridge amidst mist and colorful trees.
img_83322	Using bold, expressive brushstrokes, a tiger is captured in a dynamic pose as it descends towards the viewer.
img_83337	Craggy mountain peaks emerge from a thick blanket of clouds, with weathered pine trees dotting the foreground cliffs under a soft-hued sky.
img_83371	daily life with figures in period clothing, including a person in a wheeled cart, individuals walking, and another sitting at a table.
img_83708	An outdoor scene shows several figures in historical attire gathered around a covered stall, including a vendor, patrons, and a person with a carrying pole.
img_83743	Vibrant green and blue mountains rise through the mist above a calm body of water, where several small boats are sailing.
img_83751	An older, bearded teacher in a white robe gestures while speaking to two young pupils seated before him under a pine tree.
img_83757	A scholar with a cap and beard sits at a stone desk with a scroll, a tea set, and an incense burner, while two large birds stand in the foreground.
img_84107	A woman in a lavender and white gown with her hair in an updo stands on an ornate terrace near a large, weeping willow tree.
img_84225	A tree with vibrant red and orange foliage stands in a muted, monochrome landscape as a path curves around it.
img_84271	A house with panelled walls sits in a quiet, misty landscape, surrounded by trees and distant hills.
img_84428	A colorful kingfisher rests on a thick, gnarled branch above blooming pink and white lotus flowers.
img_84499	A bearded man in a flowing white robe gazes upwards at a tree branch with sparse, colored leaves.
img_84552	An archer in layered, historical-style clothing is shown aiming a large bow that is pulled back to full draw.
img_84872	A painting depicts winding roads carved into the sheer faces of rugged mountains, with a waterfall cascading down one side.
img_85100	A man with a beard, wearing a red robe and a wide-brimmed hat, stands in front of his white horse while autumn leaves fall around them.
img_85269	Delicate branches with pinkish-red flowers and small green leaves drape over what appears to be a balcony railing.
img_85584	Figures are seen standing on a cliffside path, looking out over a landscape of waterfalls and dense forests.
img_85859	A simple, rustic house with a thatched roof sits on stilts upon a rocky outcrop, with a stone path leading past it through a landscape of bare trees.
img_86132	A woman in an elegant green robe with an ornate hairstyle gazes into a mirror on a stand, while a small dog sits near her feet under flowering branches.
img_86824	A man in a layered robe sits cross-legged in a landscape while playing a long, dark-colored stringed instrument.
img_86958	A bird with blue, black, and reddish-orange feathers is depicted with its wings outstretched in mid-flight against a plain background.
img_87041	The long, drooping branches of a large weeping willow tree fill the frame, with one or two small children sitting at the bottom of the picture.
img_87335	A lone figure navigates a small boat on a wide, calm river that flows through a landscape of green hills and distant, misty mountains.
img_87336	Jagged mountains with blue-green hues rise out of a sea of fog, overlooking a lake with pink-blossomed trees on its shore.
img_87350	A bearded man in a traditional cap and robes sits at a stone table, using a brush to write on a scroll.
img_87441	A small boat drifts on a wide river that flows past forested banks and toward distant, hazy mountains.
img_87682	A flock of geese is captured in flight, flying in formation against a plain, overcast sky.
img_87691	A caravan of camels is depicted with spare, fluid brushstrokes, suggesting a journey across a vast, empty landscape.
img_87917	A white horse and a brown horse, with its mane blowing in the wind, stand together in a misty river or stream.
img_88247	A single, powerful horse is captured mid-gallop with energetic brushwork, its mane and tail flowing with motion.
img_88328	Two fluffy black-and-white cats with bright yellow eyes sit closely together beside stems of vibrant pink flowers.
img_88534	A rat is shown in a crouched, alert pose on a plain background, with a block of calligraphy and seals below it.
img_88778	reeds or other plant life.
img_88798	An intricate, multi-story pavilion with a tiled roof is built into the side of a steep, tree-covered cliff.
img_88838	Two birds with patterned wings and reddish heads are depicted in flight in front of delicate, drooping green leaves.
img_89104	A seated man with a beard, wearing a cap and holding a gnarled staff, looks up at the red leaves of the large tree branch above him.
img_89140	A sepia-toned landscape depicts a riverbank with trees in the foreground and a range of mountains across the water in the distance.
