image_id	poem
minecraft_01	A decorative stone fountain stands at the center of a circular pool, surrounded by trimmed hedges and a tiled path. The scene is set in a peaceful, grassy landscape with distant hills.
minecraft_02	A group of vibrant flowers with yellow and red petals blooms in a green field near a river. Mountains and trees stretch across the background under a blue sky.
minecraft_03	A hillside village glows warmly with lanterns and cherry blossom trees. A tall, ornate tower rises in the distance, framed by mountains and a dramatic sunset.
minecraft_04	A tall waterfall flows down a rocky cliff into a lush, green valley filled with dense trees and clear streams.
minecraft_05	The sun sets over a calm lake, casting pink and orange reflections on the water. Sandy shores and distant mountains are visible beneath a sky filled with soft clouds.
minecraft_06	A dry woodland stretches into the distance, filled with short, dark-leaved trees under a clear blue sky.
minecraft_07	A small village of simple houses and farmland lies in a grassy valley, surrounded by cliffs and scattered trees.
minecraft_08	A wooden house with a wide porch is nestled beside a pond with bamboo and flowers, surrounded by green hills and trees.
minecraft_09	A large forest clearing opens up among tall evergreen trees, with wildflowers and scattered patches of sunlight.
minecraft_10	A serene river winds through grassy plains and leafy trees, with gentle clouds drifting across a bright sky.
minecraft_11	A small hut made of bamboo stands raised above the jungle floor, surrounded by dense vegetation and towering trees.
minecraft_12	Wooden signs hang from posts, directing travelers to nearby locations like a market and a sign-filled village, while a distant figure walks away.
minecraft_13	A massive tree supports a cozy treehouse with glowing lights, surrounded by tall grasses and a peaceful wetland environment.
minecraft_14	Cows stand near the edge of a lake at the base of a cliff, where trees grow from rocky ledges above the water.
minecraft_15	Jagged cliffs and grassy islands reflect in the still water of a mountain lake as the sky glows with soft evening light.
minecraft_16	A tall tower with a pointed blue roof rises above a coastal forest, overlooking the vast ocean under a pale sky.
minecraft_17	A blocky human-like figure with a blue shirt and purple pants sits quietly in a field of tall grass, as the golden sunset paints the sky.
minecraft_18	A towering snow-covered mountain stands beside a wide river, with pine trees scattered along its slopes under the midday sun.
minecraft_19	A cozy wooden house with a steep roof and flowered base stands alone on a grassy plain beneath a clear blue sky.
minecraft_20	Pink-blossomed trees fill a peaceful grove where flower petals gently fall to the ground, surrounded by soft grass and sunlight.
minecraft_21	A grand castle bathed in sunset light rests between two mountain ranges, with a river curving through the forested valley below.
minecraft_22	A white bird with yellow beak and legs stands on the grass, casting a shadow in the afternoon light.
minecraft_23	A tiger with orange fur and bold black stripes stands firmly, its head turned as if observing something nearby.
minecraft_24	A waterfall descends from a rocky cliff into the green fields below, with clear blue sky and scattered clouds overhead.
minecraft_25	A white woolly animal with a gentle face stands on four sturdy legs, gazing calmly with a slight tilt of the head.
minecraft_26	A pink pig with large eyes stands with its legs slightly apart, its blocky form giving it a playful look.
minecraft_27	A landscape filled with cherry blossom trees surrounds a gentle river, glowing under a soft pink sunset.
minecraft_28	Stone buildings with steep rooftops are built into hillsides, connected by arched bridges over a tranquil river.
minecraft_29	A white sheep stands on grassy ground beside a calm lake, with a wooden house perched on a rocky slope in the background.
minecraft_30	A small farmyard is enclosed by wooden fences, where cows, cats, and a panda wander among rows of crops.
minecraft_31	Rolling golden fields stretch across the countryside, dotted with large trees and bathed in soft sunlight.
minecraft_32	A clear river winds between rugged hills covered in dry grass and bushes, under a wide, blue sky.
minecraft_33	A group of people and animals stand on top of a hill, while various creatures gather below near a cave entrance.
minecraft_34	A stylized tree with dark bark and thick, leafy branches stands alone on a grassy plain under a bright sky.
minecraft_35	A glowing waterfall spills into a brilliant blue lake at the base of tall cliffs, with scattered vegetation and lights on the slopes.
minecraft_36	A cozy cottage with a smoking chimney is nestled inside a lush cave, surrounded by glowing vines, flowers, and still waters.
minecraft_37	A fortified stone gate stands beside a half-timbered house, forming the entrance to a small medieval-style village under a blue sky.
minecraft_38	A red barn with a black roof stands on farmland, next to a wooden shed and surrounded by grassy paths and fields.
minecraft_39	A peaceful village is tucked into hills filled with blooming pink trees, each house connected by lantern-lit paths and gardens.
minecraft_40	A dark creature with glowing teal antlers stands in a cavern of shimmering stones and deep shadows.
minecraft_41	Colorful coral reefs teem with life as red, pink, and yellow fish swim through vibrant underwater scenery.
minecraft_42	A camel walks through a desert at sunset, while another stands silhouetted on a distant hill among cacti.
minecraft_43	A wide meadow is covered with blossoming cherry trees, scattered flowers, and rolling green hills beneath a bright sky.
minecraft_44	A bearded figure in a turquoise shirt and purple pants stands in a forest of red, gold, and orange trees on a grassy slope.
minecraft_45	Pink blossom trees form a dense grove on a grassy hillside, with sunlight filtering through their thick canopies.
minecraft_46	A vast lake stretches out under a bright sky, surrounded by dense forests and distant hills, with a small green island near the shore.
minecraft_47	As the sun sets over a calm lake, giant red mushrooms dot the distant shoreline, while tools and supplies lie scattered in the foreground.
minecraft_48	A rural village stands beside a crop field, featuring stone and wooden buildings around a central well under a clear sky.
minecraft_49	A vibrant, fantastical valley opens between towering mountains, where vivid cliffs and trees reflect perfectly in the turquoise waters below.
minecraft_50	A serene forest river flows quietly beneath tall trees, with warm light filtering through thick mist at dusk.
minecraft_51	Two blocky figures stand near a glowing pillar, surrounded by swirling panels showing moments of exploration, creatures, and tools.
