序号,原诗,英文提示词,图片路径
1,空山新雨后，天气晚来秋,"a vast mountain landscape, a quiet valley, a river flowing through, mist and fog among the trees, sparse foliage with red leaves, serene and tranquil mood",lora_poem_output5/01_空山新雨后，天气.png
2,明月松间照，清泉石上流,"a pine tree in a quiet landscape, a stream flowing over rocks, soft moonlight filtering through the branches, serene and tranquil mood",lora_poem_output5/02_明月松间照，清泉.png
3,竹喧归浣女，莲动下渔舟,"a riverbank with bamboo trees, a weeping willow tree, small boats on the water, lotus leaves and blossoms, figures walking along a path, serene and tranquil mood",lora_poem_output5/03_竹喧归浣女，莲动.png
4,随意春芳歇，王孙自可留,"a lone figure standing in a quiet landscape, distant hills, a riverbank with reeds and foliage, serene and minimalist mood",lora_poem_output5/04_随意春芳歇，王孙.png
5,千里莺啼绿映红，水村山郭酒旗风,"a vast landscape with distant mountains, a river winding through a village, colorful blossoms on trees, birds in flight, a small boat on the water, a house with a flag fluttering in the breeze, serene and vivid",lora_poem_output5/05_千里莺啼绿映红，.png
6,南朝四百八十寺，多少楼台烟雨中,"a vast landscape with distant mountains, a sea of clouds and mist, a river winding through the valley, pavilions and houses scattered among the hills, a quiet and serene mood, hazy and misty atmosphere",lora_poem_output5/06_南朝四百八十寺，.png
7,白日依山尽，黄河入海流,"a vast landscape with distant mountain peaks, a wide river flowing into the horizon, soft and hazy atmosphere, serene and tranquil mood",lora_poem_output5/07_白日依山尽，黄河.png
8,欲穷千里目，更上一层楼,"a vast landscape with distant mountain peaks, a pavilion on a high cliffside, a lone figure standing on a terrace gazing into the distance, a river winding through the valley below, serene and expansive atmosphere",lora_poem_output5/08_欲穷千里目，更上.png
9,春眠不觉晓，处处闻啼鸟,"a quiet landscape with distant hills, a small cottage nestled among trees, birds perched on branches, soft morning light, serene and tranquil mood",lora_poem_output5/09_春眠不觉晓，处处.png
10,夜来风雨声，花落知多少,"a quiet landscape, trees with blossoms, scattered petals on the ground, a riverbank, misty and soft, serene mood",lora_poem_output5/10_夜来风雨声，花落.png
11,蒜鸟蒜鸟，都不yong易,"a bird perched on a branch, looking up, a sparse background, quiet and serene mood",lora_poem_output5/11_蒜鸟蒜鸟，都不y.png
12,我爱这土地爱得深沉,"a vast landscape with distant mountains, a river flowing through the valley, a lone figure standing on the shore, gazing into the distance, serene and quiet mood",lora_poem_output5/12_我爱这土地爱得深.png
13,我们都爱马嘉祺,"a young man, standing on a stage, expressive and dynamic, colorful lights, a microphone in hand, a crowd of figures in the background, energetic and vivid atmosphere",lora_poem_output5/13_我们都爱马嘉祺.png
14,时代少年团。我们喜欢你,"a group of young figures, energetic and dynamic, standing together in a colorful setting, vivid and expressive, a plain background",lora_poem_output5/14_时代少年团。我们.png
