image_id	poem
img_83052	日往菲薇，月来扶疏。
img_83053	雷雨窈冥而未半，皦日笼光於绮寮。
img_83054	蕙风如薰，甘露如醴。
img_83055	槟榔无柯，椰叶无阴。
img_83056	绿叶翠茎，冒霜停雪。
img_83057	人皆可以为尧舜。
img_83058	人有不为也，而后可以有为。
img_83059	居移气，养移体。
img_83060	人有不虞之誉，有求全之毁。
img_83061	天下之本在国，国之本在家，家之本在身。
img_83062	大人者，不失其赤子之心者也。
img_83063	诚者，天之道也思诚者，人之道也。至诚而不动者，未之有也不诚，未有能动者也。
img_83064	顺天者存，逆天者亡。
img_83065	如欲平治天下，当今之世，舍我其谁也。
img_83066	以力服人者，非心服也，力不赡也以德服人者，中心悦而诚服也。
img_83067	赏罚如加于身，赋敛如取已物，此爱民之道也。
img_83068	鸷鸟将击，卑飞敛翼猛兽将搏，弭耳俯伏圣人将动，必有愚色。
img_83069	木与木相摩则然，金与火相守则流
img_83070	时雨降矣，而犹浸灌，其于泽也，不亦劳乎！
img_83071	农夫无草莱之事则不比商贾无市井之事则不比
img_83072	福轻乎羽，莫之知载祸重乎地，莫之知避。
img_83073	凫胫虽短，续之则忧鹤胫虽长，断之则悲。
img_83074	以天下为沈浊，不可与庄语。
img_83075	美成在久，恶成不及改
img_83076	好面誉人者，亦好背而毁之。
img_83077	养其小者为小人，养其大者为大人。
img_83078	言近而指远者，善言也守约而施博者，善道也。
img_83079	求之有道，得之有命，是求无益于得也，求在外者也。
img_83080	人之易其言也，无责耳矣。
img_83081	失天下也，失其民也失其民者，失其心也。
img_83082	古之君子，过则改之。
img_83083	故声闻过情，君子耻之。
img_83084	得天下英才而教育之，三乐也！
img_83085	无恒产而有恒心者，惟士为能。
img_83086	仁者爱人，有礼者敬人。爱人者人恒爱之，敬人者人恒敬之。
img_83087	礼以行义，义以生利，利以平民，政之大节也。
img_83088	使能，国之利也。
img_83089	除腹心之疾，而置诸股肱，何益？
img_83090	清浊，小大，短长，疾徐，哀乐，刚柔，迟速，高下，出入，周疏，以相济也。
img_83091	言以足志，文以足言。
img_83092	不义不昵，厚将崩。
img_83093	见可而进，知难而退，军之善政也。兼弱攻昧，武之善经也。
img_83094	君子贵其身而后能及人，是以有礼。
img_83095	修己而不责人
img_83096	唯器与名，不可以假人
img_83097	夫有尤物，足以移人
img_83098	礼，经国家，定社稷，序民人，利后嗣
img_83099	夫宠而不骄，骄而能降，降而不憾，憾而能珍者鲜矣。
img_83100	天道远，人道迩，非所及也，何以知之？
img_83101	思则有备，有备无患
img_83102	信，国之宝也，民之所庇也
img_83103	凡有血气，皆有争心
img_83104	骄奢淫逸，所自邪也。
img_83105	一鼓作气，再而衰，三而竭。
img_83106	祸福无门，唯人所召。
img_83107	度德而处之，量力而行之
img_83108	止戈为武。
img_83109	修己而不责人，则免于难。
img_83110	筚路蓝缕，以启山林。
img_83111	欲加之罪，其无辞乎？
img_83112	皮之不存，毛将安傅？
img_83113	居安思危。思则有备，有备无患
img_83114	冬无愆阳，夏无伏阴，春无凄风，秋无苦雨
img_83115	非我族类，其心必异。
img_83116	君子务知大者远者，小人务知小者近者。
img_83117	人谁无过？过而能改，善莫大焉。
img_83118	家必自毁，而后人毁之。
img_83119	死亦我所恶，所恶有甚于死者，故患有所不辟也。
img_83120	士无事而食，不可也。
img_83121	诚者，天之道也思诚者，人之道也。
img_83122	子路，人告之以有过则喜。禹闻善言则拜。
img_83123	不违农时，谷不可胜食也
img_83124	寡助之至，亲戚畔之多助之至，天下顺之。
img_83125	祸褔无不自己求之者。
img_83126	圣人之行不同也，或远或近，或去或不去，归洁其身而已矣。
img_83127	西子蒙不洁，则人人皆掩鼻而过之，虽有恶人，齐戒沐浴，则可以祀上帝。
img_83128	国君好仁，天下无敌焉。
img_83129	孝子之至，莫大乎尊亲。
img_83130	长幼有序。
img_83131	上无礼，下无学，贼民兴，丧无日矣。
img_83132	教亦多术矣，予不屑之教诲也者，是亦教诲之而已矣。
img_83133	人皆有不忍人之心。
img_83134	焉有君子而可以货取乎？
img_83135	王顾左右而言他。
img_83136	惟仁者宜在高位。不仁而在高位，是播其恶于众也。
img_83137	仁也者，人也。合而言之，道也。
img_83138	惟仁者宜在高位。
img_83139	以天下之所顺，攻亲戚之所畔故君子有不战，战必胜矣。
img_83140	目之于色也，有同美焉。
img_83141	忧民之忧者，民亦忧其忧。
img_83142	枉己者，未有能直人者也。
img_83143	仁则荣，不仁则辱。今恶辱而居不仁，是犹恶湿而居下也。
img_83144	诸侯之宝三土地人民政事，宝珠玉者，殃必及身。
img_83145	弈之为数，小数也不专心致志，则不得也。
img_83146	欲为君尽君道，欲为臣尽臣道
img_83147	其交也以道，其接也以礼，斯孔子受之矣。
img_83148	一心以为有鸿鹄将至，思援弓缴而射之，虽与之俱学弗若之矣。
img_83149	闻诛一夫纣矣，未闻弑君也。
img_83150	至诚而不动者，未之有也不诚，未有能动者也。
img_83151	食之以时，用之以礼。
img_83152	自暴者，不可与有言也自弃者，不可与有为也。言非礼义，谓之自暴也吾身不能居仁由义，谓之自弃也。
img_83153	如知其非义，斯速已矣，何待来年。
img_83154	其交也以道，以接也以礼。
img_83155	志士不忘在沟壑，勇士不忘丧其元。
img_83156	巨屦小屦同贾，人岂为之哉。
img_83157	求则得之，舍则失之，是求有益于得也，求在我者也。
img_83158	君仁莫不仁，君义莫不义，君正莫不正。
img_83159	天油然作云，沛然下雨，则苗浡然兴之矣。
img_83160	杀一无罪，非仁也非其有而取之，非义也。
img_83161	君子莫大乎与人为善。
img_83162	三代之得天下也以仁，其失天下也以不仁。
img_83163	夫志，气之帅也气，体之充也。
img_83164	用下敬上，谓之贵贵用上敬下，谓之尊贤。贵贵尊贤，其义一也。
img_83165	苟得其养，无物不长苟失其养，无物不消。
img_83166	为渊驱鱼者，獭也为丛驱爵者，鹯也
img_83167	天下殆哉，岌岌乎。
img_83168	摩顶放踵利天下，为之。
img_83169	离娄之明，公输子之巧，不以规矩，不能成方员师旷之聪，不以六律，不能正五音尧舜之道，不以仁政，不能
img_83170	君子有三乐，而王天下不与存焉。
img_83171	明足以察秋毫之末，而不见舆薪，则王许之乎？
img_83172	心之官则思，思则得之，不思则不得也。
img_83173	人人亲其亲，长其长，而天下平。
img_83174	有恒产者有恒心，无恒产者无恒心。苟无恒心，放辟邪侈，无不为已。
img_83175	可以仕则仕，可以止则止。
img_83176	人不可以无耻，无耻之耻，无耻矣。
img_83177	为政不难，不得罪于巨室。
img_83178	人生天地之间，若白驹之过隙，忽然而已。
img_83179	老吾老，以及人之老幼吾幼，以及人之幼
img_83180	不耻不若人，何若人有？
img_83181	有为者辟若掘井，掘井九轫而不及泉，犹为弃井也。
img_83182	人告之以有过则喜。
img_83183	徒善不足以为政，徒法不能以自行。
img_83184	颂其诗，读其书，不知其人可乎？是以论其世也。
img_83185	不以文害辞，不以辞害志。以意逆志，是为得之。
img_83186	胁肩谄笑，病于夏畦。
img_83187	说大人则藐之，勿视其巍巍然。
img_83188	尊贤使能，俊杰在位，则天下之士皆悦而愿立于其朝矣。
img_83189	明君制民之产，必使仰足以事父母，俯足以畜妻子，乐岁终身饱，凶年免于死亡。
img_83190	易其田畴，薄其税敛，民可使富也。
img_83191	尊贤使能，俊杰在位，则天下之士皆悦，而愿立于其朝矣。
