序号,原诗,英文提示词,图片路径
1,空山新雨后，天气晚来秋,Fresh rain cleanses the empty mountains as autumn's evening chill descends. Moonlight filters through pines while crystal streams dance over smooth stones.,lora_poem_output2/01_空山新雨后，天气.png
2,明月松间照，清泉石上流,"Moonlight filters through pine branches, while a clear stream murmurs over smooth stones.",lora_poem_output2/02_明月松间照，清泉.png
3,竹喧归浣女，莲动下渔舟,Bamboo rustles as washerwomen return home; lotus leaves sway as fishing boats glide by.,lora_poem_output2/03_竹喧归浣女，莲动.png
4,随意春芳歇，王孙自可留,"Spring flowers fade at will, yet the nobleman lingers on. A quiet mountain retreat where one may stay forever.",lora_poem_output2/04_随意春芳歇，王孙.png
5,千里莺啼绿映红，水村山郭酒旗风,Spring landscape with singing orioles amid red and green hues. Waterside villages and mountain towns with wine shop banners fluttering in the breeze.,lora_poem_output2/05_千里莺啼绿映红，.png
6,南朝四百八十寺，多少楼台烟雨中,"Misty rain veils countless temples and towers across the southern land, their silhouettes fading into the hazy landscape.",lora_poem_output2/06_南朝四百八十寺，.png
7,白日依山尽，黄河入海流,The setting sun dips behind mountains as the Yellow River flows endlessly toward the sea.,lora_poem_output2/07_白日依山尽，黄河.png
8,欲穷千里目，更上一层楼,Climbing higher to gaze at endless views from the tower.,lora_poem_output2/08_欲穷千里目，更上.png
9,春眠不觉晓，处处闻啼鸟,Dawn arrives unnoticed in spring slumber. Birds sing everywhere as morning light filters through.,lora_poem_output2/09_春眠不觉晓，处处.png
10,夜来风雨声，花落知多少,"A stormy night with rustling wind and rain, countless petals falling silently in the darkness.",lora_poem_output2/10_夜来风雨声，花落.png
