序号,原诗,英文提示词,图片路径
1,空山新雨后，天气晚来秋,"a vast mountain landscape, a quiet valley, a river flowing through the scene, misty and hazy atmosphere, sparse foliage with red leaves, serene and tranquil mood",lora_poem_output5000/01_空山新雨后，天气.png
2,明月松间照，清泉石上流,"a moonlit landscape, a pine tree, a stream flowing over rocks, serene, quiet, misty",lora_poem_output5000/02_明月松间照，清泉.png
3,竹喧归浣女，莲动下渔舟,"a riverbank with bamboo trees, a woman walking along a stone path, small boats on the water, lotus leaves and blossoms, serene and quiet mood",lora_poem_output5000/03_竹喧归浣女，莲动.png
4,随意春芳歇，王孙自可留,"a quiet landscape with distant hills, a riverbank with reeds and foliage, a lone figure standing by the water, serene and minimalist",lora_poem_output5000/04_随意春芳歇，王孙.png
5,千里莺啼绿映红，水村山郭酒旗风,"a vast landscape with distant mountains, a river winding through a village, small boats on the water, colorful blossoms on trees, birds in flight, a rustic house with a flag fluttering in the wind, serene and vivid",lora_poem_output5000/05_千里莺啼绿映红，.png
6,南朝四百八十寺，多少楼台烟雨中,"a vast landscape with distant mountains, a river winding through the valley, mist and fog enveloping ancient pavilions and temples, a quiet and serene atmosphere, monochromatic and hazy",lora_poem_output5000/06_南朝四百八十寺，.png
7,白日依山尽，黄河入海流,"a vast landscape with distant mountain peaks, a wide river flowing into the horizon, serene, quiet mood, a sparse background with minimal details",lora_poem_output5000/07_白日依山尽，黄河.png
8,欲穷千里目，更上一层楼,"a vast landscape with distant mountain peaks, a pavilion on a cliffside, a lone figure standing on a terrace, gazing into the horizon, a river winding through the valley below, serene and expansive atmosphere",lora_poem_output5000/08_欲穷千里目，更上.png
9,春眠不觉晓，处处闻啼鸟,"a quiet landscape with distant hills, a cottage nestled among trees, birds perched on branches, soft morning light, serene and tranquil mood",lora_poem_output5000/09_春眠不觉晓，处处.png
10,夜来风雨声，花落知多少,"a quiet landscape, a weeping willow tree with blossoms, scattered petals on the ground, a riverbank with reeds, misty and hazy atmosphere, serene mood",lora_poem_output5000/10_夜来风雨声，花落.png
11,蒜鸟蒜鸟，都不容易,"a bird perched on a branch, looking up, a sparse background, quiet and serene mood",lora_poem_output5000/11_蒜鸟蒜鸟，都不容.png
12,我爱这土地爱得深沉,"a vast landscape with distant mountains and a river, a solitary figure standing on a shore, gazing into the distance, a quiet and serene mood, expressive and flowing brushstrokes",lora_poem_output5000/12_我爱这土地爱得深.png
13,我们都爱马嘉祺,"a young man, a singer, standing on a stage, expressive, dynamic, colorful lights, a microphone in hand, a crowd in the background, energetic and dramatic mood",lora_poem_output5000/13_我们都爱马嘉祺.png
14,时代少年团。我们喜欢你,"a group of young men, standing together, smiling, dynamic and energetic, colorful background, expressive and vivid",lora_poem_output5000/14_时代少年团。我们.png
15,床前明月光，疑是地上霜,"a lone figure sitting in a minimalist room, soft moonlight streaming through a window, a quiet and serene mood, a monochromatic landscape outside",lora_poem_output5000/15_床前明月光，疑是.png
16,独在异乡为异客，每逢佳节倍思亲,"a lone figure standing on a terrace, gazing into the distance, a vast landscape with distant mountains and a river, quiet and tranquil mood, a sparse background",lora_poem_output5000/16_独在异乡为异客，.png
17,春眠不觉晓，处处闻啼鸟,"a quiet landscape with distant hills, birds perched on tree branches, blossoms, soft morning light, serene and tranquil mood",lora_poem_output5000/17_春眠不觉晓，处处.png
18,黄河远上白云间，一片孤城万仞山,"a vast landscape, distant mountain peaks, a solitary walled city on a cliffside, a winding river disappearing into the sea of clouds, serene and dramatic mood",lora_poem_output5000/18_黄河远上白云间，.png
19,山重水复疑无路，柳暗花明又一村,"a vast mountain landscape with winding paths, a river flowing through the valley, a weeping willow tree by the water, a small cottage in the distance, misty and serene atmosphere",lora_poem_output5000/19_山重水复疑无路，.png
