序号,原诗,Minecraft英文提示词,图片路径
1,空山新雨后，天气晚来秋,"A peaceful valley after rain, with evergreen trees and rolling hills under a clear blue sky with soft clouds. A gentle river flows through the grassy plains, reflecting the golden sunset light. The scene has a tranquil, blocky Minecraft aesthetic with scattered wildflowers.",minecraft_poem_output/minecraft_01_空山新雨后，天气.png
2,明月松间照，清泉石上流,"A tranquil forest scene with tall evergreen trees casting shadows under the bright moonlight. A clear stream flows over blocky stone formations, creating gentle waterfalls. The peaceful landscape is bathed in soft evening light with fireflies glowing among the trees.",minecraft_poem_output/minecraft_02_明月松间照，清泉.png
3,竹喧归浣女，莲动下渔舟,"A tranquil river flows through a bamboo forest, where clear streams reflect the soft sunlight. Two blocky figures walk along the riverbank near wooden houses, while fish swim in the still waters under floating lotus leaves.",minecraft_poem_output/minecraft_03_竹喧归浣女，莲动.png
4,随意春芳歇，王孙自可留,"A tranquil valley with cherry blossom trees and wildflowers, where a blocky figure stands near a wooden house with a smoking chimney. The peaceful scene includes rolling hills, a gentle river, and soft sunlight filtering through the trees.",minecraft_poem_output/minecraft_04_随意春芳歇，王孙.png
5,千里莺啼绿映红，水村山郭酒旗风,"A vibrant medieval-style village nestled between rolling hills and a gentle river, with wooden houses featuring red banners fluttering in the breeze. Cherry blossom trees with pink blossoms dot the landscape, while white birds fly across the bright sky. The scene is alive with the warm afternoon light filtering through scattered clouds.",minecraft_poem_output/minecraft_05_千里莺啼绿映红，.png
6,南朝四百八十寺，多少楼台烟雨中,"A medieval-style village with numerous stone towers and arched bridges, nestled among rolling hills and evergreen trees. The scene is shrouded in soft mist with glowing lanterns illuminating the cobblestone paths under a dramatic sunset sky.",minecraft_poem_output/minecraft_06_南朝四百八十寺，.png
7,白日依山尽，黄河入海流,"A dramatic sunset over rolling hills with a wide river flowing through the valley, leading to distant mountain ranges under a bright sky with soft clouds. The landscape features blocky stone formations and scattered evergreen trees along the riverbanks.",minecraft_poem_output/minecraft_07_白日依山尽，黄河.png
8,欲穷千里目，更上一层楼,"A towering stone castle with multiple levels stands atop a mountain range, overlooking vast grassy plains and a winding river below. The dramatic sunset casts golden light across the blocky landscape, with distant villages visible on the horizon.",minecraft_poem_output/minecraft_08_欲穷千里目，更上.png
9,春眠不觉晓，处处闻啼鸟,"A cozy wooden house nestled in a peaceful valley, surrounded by cherry blossom trees and wildflowers. Birds flutter among the branches as soft morning sunlight filters through the leaves. A gentle river flows nearby, with rolling green hills in the distance under a clear blue sky.",minecraft_poem_output/minecraft_09_春眠不觉晓，处处.png
10,夜来风雨声，花落知多少,"A cozy wooden house with a steep roof stands in a peaceful valley, surrounded by cherry blossom trees with pink petals falling in the wind. The scene is illuminated by soft evening light filtering through scattered clouds, with wildflowers swaying in the breeze. A gentle river flows nearby, reflecting the clear blue sky.",minecraft_poem_output/minecraft_10_夜来风雨声，花落.png
11,蒜鸟蒜鸟，都不yong易,"I notice your message seems to contain some non-standard characters. As a Minecraft scene translator, I specialize in converting classical Chinese poetry into Minecraft-style visual descriptions. 

Would you like me to translate a specific poem into a Minecraft scene? For example, I could create a prompt for:
- A peaceful bamboo forest with blocky pandas
- A cherry blossom valley with a wooden bridge
- A mountain temple at sunset

Please share a Chinese poem you'd like visualized in Minecraft style, and I'll create an accurate scene description using only approved Minecraft vocabulary.",minecraft_poem_output/minecraft_11_蒜鸟蒜鸟，都不y.png
12,我爱这土地爱得深沉,"A vast Minecraft landscape with rolling grassy plains stretching to distant mountain ranges, a gentle river winding through the valley, dotted with cozy wooden houses and stone buildings under a dramatic sunset sky with soft clouds. Tall trees sway in the breeze as blocky figures work in the farmland, surrounded by peaceful nature - all rendered in signature blocky form with pixelated appearance.",minecraft_poem_output/minecraft_12_我爱这土地爱得深.png
13,我们都爱马嘉祺,"A blocky figure stands in a peaceful meadow surrounded by cherry blossom trees and wildflowers, with gentle sunlight filtering through the leaves. In the distance, a cozy wooden house with a smoking chimney sits beside a calm lake, under a bright blue sky with soft clouds. The scene radiates warmth and tranquility, with white woolly sheep grazing nearby.",minecraft_poem_output/minecraft_13_我们都爱马嘉祺.png
14,时代少年团。我们喜欢你,"A group of blocky figures performing on a vibrant stage with glowing lights, surrounded by cheering blocky audience figures under a dramatic sunset sky. The scene captures the energetic atmosphere of a concert with pixelated musical notes floating in the air.",minecraft_poem_output/minecraft_14_时代少年团。我们.png
15,床前明月光，疑是地上霜,"A cozy wooden house at night with glowing lights from windows, surrounded by snowy plains under a bright moonlit sky. A blocky figure stands by the window looking at the frost-covered ground outside.",minecraft_poem_output/minecraft_15_床前明月光，疑是.png
16,独在异乡为异客，每逢佳节倍思亲,"A lone blocky figure stands on a grassy plain near a wooden house, gazing at the distant mountain ranges under a dramatic sunset. The cozy cottage with a smoking chimney in the background contrasts with the solitary figure's mood, as white birds fly across the clear blue sky.",minecraft_poem_output/minecraft_16_独在异乡为异客，.png
17,春眠不觉晓，处处闻啼鸟,"A cozy wooden house nestled among cherry blossom trees in full bloom, with birds flying through the clear blue sky. The peaceful valley is bathed in soft morning sunlight, with wildflowers dotting the grassy plains. A gentle river flows nearby, reflecting the pixelated clouds above.",minecraft_poem_output/minecraft_17_春眠不觉晓，处处.png
18,黄河远上白云间，一片孤城万仞山,"A towering stone castle stands alone on steep mountain cliffs, overlooking a winding river that disappears into distant clouds. The dramatic landscape features rugged peaks and deep valleys under a bright sky with soft clouds.",minecraft_poem_output/minecraft_18_黄河远上白云间，.png
19,山重水复疑无路，柳暗花明又一村,"A winding path through dense forest and rolling hills suddenly reveals a cozy medieval-style village with wooden houses and smoking chimneys. Pink-blossomed trees line the tranquil river, with soft sunlight filtering through the leaves.",minecraft_poem_output/minecraft_19_山重水复疑无路，.png
